3.667: [GC 35449K->35449K(35780K), 0.000661 secs]
3.707: [GC 35780K->35780K(36111K), 0.000664 secs]
3.736: [GC 36111K->36111K(36443K), 0.000392 secs]
3.756: [GC 36443K->36443K(36774K), 0.000394 secs]
3.776: [GC 36774K->36774K(37105K), 0.000384 secs]
3.796: [GC 37105K->37105K(37436K), 0.000395 secs]
3.817: [GC 37436K->37436K(37768K), 0.000402 secs]
3.837: [GC 37768K->37768K(38099K), 0.000400 secs]
3.858: [GC 38099K->38099K(38430K), 0.000392 secs]
3.877: [GC 38430K->38430K(38762K), 0.000393 secs]
3.911: [GC 38762K->38762K(39093K), 0.000675 secs]
3.948: [GC 39093K->39093K(39424K), 0.000460 secs]
3.970: [GC 39424K->39424K(39756K), 0.000388 secs]
3.989: [GC 39756K->39756K(40087K), 0.000393 secs]
4.009: [GC 40087K->40087K(40418K), 0.000394 secs]
4.028: [GC 40418K->40418K(40749K), 0.000385 secs]
4.047: [GC 40749K->40749K(41081K), 0.000395 secs]
4.066: [GC 41081K->41081K(41412K), 0.000395 secs]
4.085: [GC 41412K->41412K(41743K), 0.000418 secs]
4.103: [GC 41743K->41743K(42075K), 0.000395 secs]
4.136: [GC 42075K->42075K(42406K), 0.000665 secs]
4.174: [GC 42406K->42406K(42737K), 0.000475 secs]
4.196: [GC 42737K->42737K(43069K), 0.000392 secs]
4.216: [GC 43069K->43069K(43400K), 0.000394 secs]
4.235: [GC 43400K->43400K(43731K), 0.000391 secs]
4.256: [GC 43731K->43731K(44063K), 0.000394 secs]
4.277: [GC 44063K->44063K(44394K), 0.000386 secs]
4.297: [GC 44394K->44394K(44725K), 0.000391 secs]
4.317: [GC 44725K->44725K(45056K), 0.000391 secs]
4.337: [GC 45056K->45056K(45388K), 0.000388 secs]
4.364: [GC 45388K->45388K(45719K), 0.000666 secs]
4.404: [GC 45719K->45719K(46050K), 0.000669 secs]
4.430: [GC 46050K->46050K(46382K), 0.000390 secs]
4.449: [GC 46382K->46382K(46713K), 0.000394 secs]
4.469: [GC 46713K->46713K(47044K), 0.000390 secs]
4.488: [GC 47044K->47044K(47376K), 0.000398 secs]
4.508: [GC 47376K->47376K(47707K), 0.000416 secs]
4.528: [GC 47707K->47707K(48038K), 0.000688 secs]
4.565: [GC 48038K->48038K(48369K), 0.000677 secs]
4.597: [GC 48369K->48369K(48701K), 0.000545 secs]
4.618: [GC 48701K->48701K(49032K), 0.000401 secs]
4.639: [GC 49032K->49032K(49363K), 0.000384 secs]
4.659: [GC 49363K->49363K(49695K), 0.000519 secs]
4.680: [GC 49695K->49695K(50026K), 0.000381 secs]
4.716: [GC 50026K->50026K(50357K), 0.000667 secs]
4.754: [GC 50357K->50357K(50689K), 0.000456 secs]
4.776: [GC 50689K->50689K(51020K), 0.000376 secs]
4.796: [GC 51020K->51020K(51351K), 0.000381 secs]
4.816: [GC 51351K->51351K(51682K), 0.000391 secs]
4.836: [GC 51682K->51682K(52014K), 0.000387 secs]
4.857: [GC 52014K->52014K(52345K), 0.000392 secs]
4.877: [GC 52345K->52345K(52676K), 0.000388 secs]
4.897: [GC 52676K->52676K(53008K), 0.000388 secs]
4.928: [GC 53008K->53008K(53339K), 0.000736 secs]
4.969: [GC 53339K->53339K(53670K), 0.000665 secs]
4.992: [GC 53670K->53670K(54002K), 0.000402 secs]
5.012: [GC 54002K->54002K(54333K), 0.000398 secs]
5.032: [GC 54333K->54333K(54664K), 0.000392 secs]
5.053: [GC 54664K->54664K(54995K), 0.000395 secs]
5.073: [GC 54995K->54995K(55327K), 0.000385 secs]
5.093: [GC 55327K->55327K(55658K), 0.000386 secs]
5.124: [GC 55658K->55658K(55989K), 0.023388 secs]
5.174: [GC 55989K->55989K(56321K), 0.000404 secs]
5.207: [GC 56321K->56321K(56652K), 0.000684 secs]
5.246: [GC 56652K->56652K(56983K), 0.000462 secs]
5.268: [GC 56983K->56983K(57315K), 0.000404 secs]
5.287: [GC 57315K->57315K(57646K), 0.000398 secs]
5.307: [GC 57646K->57646K(57977K), 0.000391 secs]
5.326: [GC 57977K->57977K(58308K), 0.000391 secs]
5.345: [GC 58308K->58308K(58640K), 0.000413 secs]
5.363: [GC 58640K->58640K(58971K), 0.000391 secs]
5.382: [GC 58971K->58971K(59302K), 0.000392 secs]
5.401: [GC 59302K->59302K(59634K), 0.000395 secs]
5.424: [GC 59634K->59634K(59965K), 0.000663 secs]
5.461: [GC 59965K->59965K(60296K), 0.000490 secs]
5.481: [GC 60296K->60296K(60628K), 0.000393 secs]
5.499: [GC 60628K->60628K(60959K), 0.000392 secs]
5.517: [GC 60959K->60959K(61290K), 0.000386 secs]
5.535: [GC 61290K->61290K(61621K), 0.000401 secs]
5.554: [GC 61621K->61621K(61953K), 0.000390 secs]
5.574: [GC 61953K->61953K(62284K), 0.000400 secs]
5.595: [GC 62284K->62284K(62615K), 0.000408 secs]
5.617: [GC 62615K->62615K(62947K), 0.000661 secs]
5.656: [GC 62947K->62947K(63278K), 0.000663 secs]
5.688: [GC 63278K->63278K(63609K), 0.000479 secs]
5.708: [GC 63609K->63609K(63941K), 0.000390 secs]
5.728: [GC 63941K->63941K(64272K), 0.000413 secs]
5.747: [GC 64272K->64272K(64603K), 0.000392 secs]
5.766: [GC 64603K->64603K(64934K), 0.000393 secs]
5.786: [GC 64934K->64934K(65266K), 0.000461 secs]
5.805: [GC 65266K->65266K(65597K), 0.000439 secs]
5.824: [GC 65597K->65597K(65928K), 0.000390 secs]
5.845: [GC 65928K->65928K(66260K), 0.000689 secs]
5.882: [GC 66260K->66260K(66591K), 0.000673 secs]
5.913: [GC 66591K->66591K(66922K), 0.000393 secs]
5.933: [GC 66922K->66922K(67254K), 0.000397 secs]
5.953: [GC 67254K->67254K(67585K), 0.000391 secs]
5.973: [GC 67585K->67585K(67916K), 0.000389 secs]
5.993: [GC 67916K->67916K(68247K), 0.000398 secs]
6.013: [GC 68247K->68247K(68579K), 0.000400 secs]
6.033: [GC 68579K->68579K(68910K), 0.000392 secs]
6.052: [GC 68910K->68910K(69241K), 0.000392 secs]
6.080: [GC 69241K->69241K(69573K), 0.000677 secs]
6.118: [GC 69573K->69573K(69904K), 0.000710 secs]
6.144: [GC 69904K->69904K(70235K), 0.000410 secs]
6.163: [GC 70235K->70235K(70567K), 0.000394 secs]
6.182: [GC 70567K->70567K(70898K), 0.000394 secs]
6.201: [GC 70898K->70898K(71229K), 0.000447 secs]
6.220: [GC 71229K->71229K(71560K), 0.000401 secs]
6.239: [GC 71560K->71560K(71892K), 0.000393 secs]
6.257: [GC 71892K->71892K(72223K), 0.000392 secs]
6.277: [GC 72223K->72223K(72554K), 0.000394 secs]
6.297: [GC 72554K->72554K(72886K), 0.000393 secs]
6.335: [GC 72886K->72886K(73217K), 0.000682 secs]
6.370: [GC 73217K->73217K(73548K), 0.000499 secs]
6.390: [GC 73548K->73548K(73880K), 0.000391 secs]
6.410: [GC 73880K->73880K(74211K), 0.000391 secs]
6.429: [GC 74211K->74211K(74542K), 0.000394 secs]
6.449: [GC 74542K->74542K(74873K), 0.000394 secs]
6.468: [GC 74873K->74873K(75205K), 0.000404 secs]
6.487: [GC 75205K->75205K(75536K), 0.000393 secs]
6.508: [GC 75536K->75536K(75867K), 0.000399 secs]
6.528: [GC 75867K->75867K(76199K), 0.000410 secs]
6.559: [GC 76199K->76199K(76530K), 0.000666 secs]
6.598: [GC 76530K->76530K(76861K), 0.000470 secs]
6.621: [GC 76861K->76861K(77193K), 0.000390 secs]
6.641: [GC 77193K->77193K(77524K), 0.000380 secs]
6.661: [GC 77524K->77524K(77855K), 0.000440 secs]
6.682: [GC 77855K->77855K(78186K), 0.000387 secs]
6.702: [GC 78186K->78186K(78518K), 0.000389 secs]
6.722: [GC 78518K->78518K(78849K), 0.000395 secs]
